,,,,,,,,,Strength of Schedule,,,NCSOS (non-conference strength of schedule)
Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
1,Duke 1,ACC,32-2,38.9,127.9,89.1,65.4,0.049,14.29,117,102.7,10.09
2,Arizona 1,B12,32-2,37.62,127.7,90,69.8,0.023,14.94,117.6,102.7,3.27
3,Michigan 1,B10,31-3,37.58,126.6,89,71,0.045,16.65,119.2,102.5,12.5
4,Florida 1,SEC,26-7,33.78,125.5,91.8,70.6,-0.036,16.01,119.4,103.4,7.93
5,Houston 2,B12,28-6,33.39,124.8,91.5,63.3,-0.006,13.56,116.9,103.3,0.9
6,Iowa St. 2,B12,27-7,32.38,123.8,91.4,66.6,-0.012,12.4,115.5,103.1,-3.57
7,Illinois 3,B10,24-8,32.09,131.2,99.1,65.6,-0.05,13.64,117,103.4,3.76
8,Purdue 2,B10,27-8,31.19,131.6,100.4,64.4,-0.006,15.88,118.3,102.5,6.31
9,Michigan St. 3,B10,25-7,28.3,123,94.7,66.1,0.005,13.69,118,104.4,3.64
10,Gonzaga 3,WCC,30-3,28.1,122,93.9,68.6,0.072,5.9,113,107.1,8.32
11,Connecticut 2,BE,29-5,27.85,122,94.1,64.5,0.055,12,115.3,103.3,7.61
12,Vanderbilt 5,SEC,26-8,27.5,126.8,99.3,68.9,0.018,14.56,118,103.4,1.18
13,Virginia 3,ACC,29-5,26.71,122.5,95.8,65.8,0.056,9.95,115.4,105.5,-3.26
14,Nebraska 4,B10,26-6,26.15,118.5,92.4,66.8,0.034,11.6,116.4,104.8,-6
15,Arkansas 4,SEC,26-8,26.04,127.7,101.6,71,0.051,14.96,118.9,103.9,4.42
16,Tennessee 6,SEC,22-11,26.02,121.1,95,65,-0.06,14.77,119,104.3,0.76
17,St. John's 5,BE,28-6,25.89,120.1,94.2,69.6,0.061,11.51,115.1,103.6,6.6
18,Alabama 4,SEC,23-9,25.7,129,103.3,73.1,0.019,16.74,119.4,102.7,13.39
19,Louisville 6,ACC,23-10,25.42,124.1,98.6,69.7,-0.02,12.55,115.8,103.3,2.4
20,Texas Tech 5,B12,22-10,25.2,125.1,99.9,66.2,0.006,15.61,118.3,102.7,7.79
21,Kansas 4,B12,23-10,24.41,118.3,93.9,67.7,0.053,16.92,118,101.1,11.01
22,Wisconsin 5,B10,24-10,23.38,125.3,102,68.8,0.041,13.93,117.2,103.3,-1.09
23,BYU 6,B12,23-11,23.21,125.4,102.2,70,-0.017,14.25,116.2,102,4.89
24,Saint Mary's 7,WCC,27-5,23.08,120.3,97.2,65.2,0.011,5.01,111.5,106.5,3.92
25,Iowa 9,B10,21-12,22.43,121.7,99.3,63,-0.061,11.37,115.6,104.2,-7.18
26,Ohio St. 8,B10,21-12,22.23,124.3,102.1,66.1,-0.031,13.67,116.6,103,-1.82
27,UCLA 7,B10,23-11,21.66,123.7,102.1,64.7,0.017,12.22,116.1,103.9,-2.16
28,Kentucky 7,SEC,21-13,21.48,120.5,99,68.4,-0.019,15.92,119,103.1,1.34
29,North Carolina 6,ACC,24-8,20.83,121.4,100.6,68,0.057,11.46,115.4,103.9,1.32
30,Utah St. 9,MWC,28-6,20.78,122.2,101.4,67.7,0.065,7.16,112.8,105.6,2.01
31,Miami FL 7,ACC,25-8,20.68,121.4,100.7,67.6,0.021,8,113.7,105.7,-7.29
32,Georgia 8,SEC,22-10,20.47,124.7,104.2,71.4,-0.005,10.78,116,105.2,-6.44
33,Villanova 8,BE,24-8,19.94,120.4,100.4,65.2,0.067,10.36,114.7,104.4,2.87
34,N.C. State 11,ACC,20-13,19.62,124.1,104.4,69.1,-0.029,11.99,116,104,4.2
35,Santa Clara 10,WCC,26-8,19.4,123.6,104.2,69.2,0.015,6.03,111.8,105.8,3.91
36,Clemson 8,ACC,24-10,19.23,116.5,97.3,64.3,0.011,10.53,115.2,104.7,0.63
37,Texas 11,SEC,18-14,19.02,125,105.9,66.9,-0.083,13.7,117.4,103.7,-6.35
39,Texas A&M 10,SEC,21-11,18.65,119.7,101,70.5,-0.002,11.14,117,105.8,-5.88
41,Saint Louis 9,A10,28-5,18.26,119.4,101.2,71,0.03,0.98,108.8,107.9,-5.81
42,SMU 11,ACC,20-13,18.08,122.9,104.8,68.6,-0.043,11.16,115.7,104.6,1.25
43,TCU 9,B12,22-11,17.53,115.4,97.8,67.7,0.004,10.99,115.2,104.2,-6.95
46,VCU 11,A10,27-7,17.13,119.8,102.7,68.5,-0.007,3.42,110.4,106.9,-1.27
48,South Florida 11,Amer,25-8,16.38,117.3,101,71.5,-0.026,3.05,111.2,108.2,4.93
52,Missouri 10,SEC,20-12,15.39,119.5,104.1,66.2,0.041,11.52,116.5,105,-7.74
54,UCF 10,B12,21-11,15,120.4,105.4,69.2,0.097,11.88,115,103.1,-2.54
64,Akron 12,MAC,29-5,12.77,118.8,106.1,70.3,0.018,-3.66,108.4,112.1,-3.15
67,McNeese 12,Slnd,28-5,12.48,114.3,101.8,66.2,0.084,-1.85,107.5,109.4,9.14
71,Northern Iowa 12,MVC,23-12,11.82,110,98.2,62.3,-0.07,1.29,109.5,108.2,-0.85
86,Hofstra 13,CAA,24-10,9.53,114.6,105.1,64.7,-0.052,-0.87,108,108.9,3.09
92,High Point 12,BSth,30-4,8.4,117,108.6,69.9,0.048,-9.22,103.7,112.9,-8.88
93,Miami OH 11,MAC,31-1,8.25,116.8,108.5,70,0.099,-5.36,107.2,112.6,-9.9
107,Cal Baptist 13,WAC,25-8,6,107.9,101.9,65.8,0.091,-1.94,107.1,109.1,-3.3
108,Hawaii 13,BW,24-8,5.98,107.1,101.2,69.7,0.038,-3.35,106.6,109.9,-11.2
114,North Dakota St. 14,Sum,27-7,5.16,111.8,106.6,66.3,0.04,-5.79,106.5,112.3,-0.91
140,Wright St. 14,Horz,23-11,2.04,112.1,110,67.2,0.009,-4.03,109.4,113.4,0.86
143,Troy 13,SB,22-11,1.73,110.7,109,64.9,0.024,-3.21,107.6,110.8,4.16
146,Idaho 15,BSky,21-14,1.55,108.9,107.3,67.8,-0.012,-1.64,109.4,111.1,0.78
151,Penn 14,Ivy,18-11,1.33,107.3,106,69.1,0.068,-0.81,109.1,109.9,0.44
161,Kennesaw St. 14,CUSA,21-13,0.76,110.7,110,71.2,0.009,-2.03,108.1,110.1,-5.16
183,Queens 15,ASun,21-13,-1.43,115.8,117.2,69.6,0.067,-5.65,108.3,114,5.7
186,Tennessee St. 15,OVC,23-9,-1.81,109.1,110.9,70.2,0.07,-8.24,103.2,111.5,5.45
188,UMBC 16,AE,24-9,-1.95,108.8,110.8,66.3,0.028,-14.47,100.6,115.1,-6.99
190,Furman 15,SC,22-12,-1.98,107.5,109.4,65.9,0.01,-6.28,108.1,114.4,-0.7
193,Siena 16,MAAC,23-11,-2.14,107.1,109.3,64.7,0.005,-9.51,102.9,112.4,-7.78
204,Howard 16,MEAC,24-10,-2.92,104.1,107,69.1,0.003,-14.04,100.8,114.8,-1.68
216,LIU 16,NEC,24-10,-3.96,105.6,109.6,67.8,0.104,-9.97,103.6,113.5,2.16
284,Lehigh 16,PL,18-16,-10.41,102.7,113.1,66.9,0.081,-8.65,104.9,113.5,-0.56
288,Prairie View A&M 16,SWAC,18-17,-10.69,101.2,111.9,71,0.013,-9.57,103.4,113,8.94
