StdName,Q1_W,Q1_L,Q1_WinPct,Q2_W,Q2_L,Q1Q2_WinPct
Duke,16,2,0.889,4,0,0.909
Siena,0,1,0.0,1,2,0.25
Ohio State,2,10,0.167,4,1,0.353
TCU,5,7,0.417,5,1,0.556
Northern Iowa,0,3,0.0,5,4,0.417
Kansas,8,8,0.5,4,1,0.571
Louisville,3,10,0.231,8,0,0.524
South Florida,3,3,0.5,6,2,0.643
Michigan State,5,6,0.455,5,0,0.625
North Dakota State,0,0,0.0,0,3,0.0
UCLA,4,8,0.333,3,1,0.438
UCF,4,6,0.4,5,3,0.5
UConn,8,3,0.727,4,0,0.8
Furman,0,0,0.0,0,4,0.0
Florida,8,5,0.615,8,2,0.696
Lehigh,0,1,0.0,0,2,0.0
Clemson,5,5,0.5,6,5,0.524
Iowa,1,9,0.1,5,0,0.4
Vanderbilt,8,5,0.615,6,2,0.667
McNeese,0,3,0.0,3,0,0.5
Nebraska,4,6,0.4,7,0,0.647
Troy,2,0,1.0,2,4,0.5
North Carolina,6,8,0.429,4,0,0.556
VCU,3,6,0.333,6,1,0.562
Illinois,6,8,0.429,3,0,0.529
Penn,1,3,0.25,2,3,0.333
Texas A&M,2,7,0.222,4,3,0.375
Houston,7,6,0.538,6,0,0.684
Idaho,0,0,0.0,0,2,0.0
Arizona,16,2,0.889,5,0,0.913
Villanova,2,6,0.25,5,0,0.538
Utah State,4,3,0.571,8,2,0.706
Wisconsin,5,6,0.455,4,2,0.529
High Point,0,1,0.0,2,1,0.5
Arkansas,5,7,0.417,8,1,0.619
Hawaii,0,0,0.0,1,4,0.2
BYU,7,8,0.467,5,3,0.522
Gonzaga,8,2,0.8,0,0,0.8
Kennesaw State,0,3,0.0,2,2,0.286
Miami (FL),5,6,0.455,5,2,0.556
Missouri,4,6,0.4,2,3,0.4
Purdue,8,7,0.533,6,1,0.636
Queens (NC),0,4,0.0,0,4,0.0
Michigan,13,3,0.812,7,0,0.87
UMBC,0,2,0.0,0,2,0.0
Georgia,5,4,0.556,2,4,0.467
Saint Louis,3,3,0.5,3,1,0.6
Texas Tech,5,9,0.357,6,1,0.524
Akron,1,3,0.25,3,2,0.444
Alabama,6,6,0.5,8,1,0.667
Hofstra,0,2,0.0,5,1,0.625
Tennessee,5,9,0.357,3,2,0.421
SMU,2,9,0.182,4,3,0.333
Virginia,8,4,0.667,6,0,0.778
Wright State,0,1,0.0,0,3,0.0
Kentucky,4,11,0.267,2,2,0.316
Santa Clara,2,6,0.25,2,1,0.364
Iowa State,6,6,0.5,6,1,0.632
Tennessee State,0,2,0.0,1,0,0.333
St. John's,5,5,0.5,11,0,0.762
Saint Mary's,1,4,0.2,8,1,0.643
NC State,5,8,0.385,6,4,0.478
Cal Baptist,0,1,0.0,2,4,0.286
Long Island University,0,2,0.0,0,2,0.0
