net_rank,team,conference,conf_record,div1_record,nonconf_record,road_record,net_sos,net_nonconf_sos,rpi_sos,rpi_nonconf_sos,avg_net_wins,avg_net_losses,kpi,sor,wab,bpi,pom,t_rank,q1_record,q2_record,q3_record,q4_record
1,Duke,ACC,17-1,10-1,,,9,9,4,12,88,21,1,3,2,1,1,1,17-2,6-0,2-0,7-0
2,Michigan,Big Ten,19-1,11-0,,,1,7,2,3,67,11,3,2,1,2,3,2,17-3,5-0,6-0,3-0
3,Arizona,Big 12,16-2,9-1,,,10,39,7,49,88,20,2,1,3,3,2,3,16-2,8-0,1-0,7-0
4,Florida,SEC,16-2,8-2,,,8,23,9,25,94,23,4,5,6,5,4,4,12-6,6-1,3-0,5-0
5,Houston,Big 12,14-4,6-3,,,24,113,21,187,102,12,5,6,5,4,5,5,10-6,9-0,3-0,6-0
6,Iowa State,Big 12,12-6,5-5,,,28,129,51,276,125,22,14,14,9,6,6,7,8-7,10-0,2-0,7-0
7,Gonzaga,West Coast,16-2,8-2,,,85,32,97,159,140,82,18,11,17,8,10,11,7-2,4-0,11-1,8-0
8,Illinois,Big Ten,15-5,8-2,,,21,41,14,11,110,16,19,17,18,7,7,6,7-8,5-0,7-0,5-0
9,Purdue,Big Ten,13-7,8-3,,,3,34,10,42,86,19,6,7,4,9,8,8,11-8,6-0,7-0,3-0
10,Connecticut,Big East,17-3,9-2,,,52,11,31,27,105,42,7,4,7,10,11,9,7-3,11-1,6-1,5-0
11,Michigan State,Big Ten,15-5,6-4,,,20,58,15,33,100,22,13,13,12,13,9,13,10-6,4-1,7-0,4-0
12,Virginia,ACC,15-3,8-2,,,66,202,53,256,118,33,8,9,8,20,13,14,8-4,9-1,5-0,7-0
13,Vanderbilt,SEC,11-7,8-4,,,16,117,16,60,107,28,9,12,10,14,12,10,10-7,7-1,3-0,6-0
14,Nebraska,Big Ten,15-5,7-3,,,34,306,64,277,122,14,20,10,13,18,14,20,9-6,6-0,5-0,6-0
15,Arkansas,SEC,13-5,5-5,,,17,27,8,5,101,17,17,8,11,17,15,19,8-8,8-0,4-0,6-0
16,Saint John's,Big East,18-2,9-1,,,62,38,19,38,96,30,10,16,14,16,17,15,5-5,11-0,9-1,3-0
17,Louisville,ACC,11-7,4-7,,,26,63,27,179,127,23,27,26,24,11,19,17,8-10,4-0,4-0,7-0
18,Alabama,SEC,13-5,7-3,,,5,3,6,2,85,23,12,15,15,15,18,18,7-7,9-2,5-0,2-0
19,Texas Tech,Big 12,12-6,5-5,,,7,24,1,8,91,25,15,20,19,21,20,12,7-9,5-1,7-0,3-0
20,Tennessee,SEC,11-7,5-5,,,12,62,28,143,120,26,25,22,23,12,16,16,6-10,6-1,3-0,7-0
21,Kansas,Big 12,12-6,5-6,,,2,18,3,18,82,28,11,18,16,22,21,22,9-9,7-1,4-0,3-0
22,Saint Mary's College,West Coast,16-2,8-2,,,94,126,46,22,148,32,24,30,30,27,24,25,1-4,8-1,10-0,7-0
23,BYU,Big 12,9-9,3-6,,,13,49,13,30,110,27,23,24,22,19,23,33,7-10,8-1,3-0,5-0
24,North Carolina,ACC,12-6,4-6,,,35,95,11,37,112,34,16,21,21,30,29,27,6-8,5-0,8-0,5-0
25,Wisconsin,Big Ten,14-6,6-4,,,19,161,35,244,111,38,22,19,20,24,22,21,9-8,4-1,5-1,6-0
26,Utah State,Mountain West,15-5,7-5,,,88,183,40,59,120,75,21,34,31,34,30,29,4-4,9-1,9-1,5-0
27,Iowa,Big Ten,10-10,3-8,,,39,256,75,300,147,39,51,40,39,31,25,26,5-9,4-1,6-2,6-0
28,Kentucky,SEC,10-8,4-6,,,6,33,12,45,129,21,35,27,26,23,28,31,5-11,7-2,3-0,6-0
29,Ohio State,Big Ten,12-8,5-6,,,22,158,25,201,133,24,42,33,32,26,26,23,5-11,4-1,6-0,6-0
30,UCLA,Big Ten,13-7,4-6,,,30,137,52,193,131,27,38,29,27,25,27,24,5-8,5-3,6-0,7-0
31,Saint Louis,Atlantic 10,15-3,7-3,,,135,317,108,205,175,88,30,38,41,35,41,43,2-1,6-3,6-1,13-0
32,Miami (FL),ACC,13-5,8-2,,,72,214,120,341,154,28,32,25,25,40,31,35,6-6,6-2,3-0,10-0
33,Georgia,SEC,10-8,6-4,,,65,282,72,212,146,37,37,31,34,33,32,37,6-7,6-2,1-1,9-0
34,Clemson,ACC,12-6,6-5,,,57,81,67,209,135,37,31,32,29,29,36,30,6-6,7-4,4-0,7-0
35,Villanova,Big East,15-5,9-3,,,73,94,58,65,117,31,28,23,28,36,33,36,2-6,8-1,9-1,5-0
36,North Carolina State,ACC,10-8,6-4,,,36,82,18,54,120,43,33,45,43,37,34,38,5-9,6-4,5-0,4-1
37,SMU,ACC,8-10,3-8,,,58,190,23,92,124,39,41,49,46,42,42,42,4-9,5-4,5-0,6-0
39,TCU,Big 12,11-7,5-5,,,42,153,74,294,141,58,36,35,33,48,43,49,6-7,7-2,2-1,7-1
40,Santa Clara,West Coast,15-3,8-3,,,82,110,33,77,149,59,39,42,36,49,35,28,2-6,6-1,10-0,7-1
42,Texas,SEC,9-9,4-6,,,23,68,63,216,158,37,66,44,45,39,37,45,7-9,1-4,3-1,7-0
43,VCU,Atlantic 10,15-3,7-3,,,99,91,48,113,173,39,26,39,38,46,45,48,2-4,5-3,9-0,11-0
44,Texas A&M,SEC,11-7,6-5,,,61,259,112,335,155,34,52,36,40,32,39,39,5-8,4-3,4-0,8-0
45,South Florida,American,15-3,9-3,,,106,83,42,15,167,84,34,50,54,51,47,50,2-3,6-2,7-3,9-0
51,UCF,Big 12,9-9,5-5,,,43,240,22,106,123,35,29,37,35,57,54,57,5-8,6-3,4-0,6-0
54,Akron,Mid-American,17-1,9-3,,,241,234,164,153,229,74,63,52,53,77,64,71,0-2,0-2,11-1,16-0
56,McNeese,Southland,19-3,9-5,,,201,28,190,19,220,107,81,47,47,60,68,73,0-2,2-2,8-0,16-1
58,Missouri,SEC,10-8,5-7,,,40,213,76,265,161,40,50,41,42,44,52,46,5-7,4-5,3-0,8-0
64,Miami (OH),Mid-American,18-0,14-0,,,340,363,278,355,228,201,53,28,37,93,93,86,0-0,3-0,10-0,15-1
72,Northern Iowa,Missouri Valley,11-9,6-6,,,137,195,109,58,188,90,77,105,101,82,72,70,0-2,4-5,7-5,11-0
75,High Point,Big South,15-1,7-2,,,363,361,331,311,262,140,96,66,69,63,92,93,0-0,0-2,5-2,22-0
88,Hofstra,Coastal Athletic,12-6,9-8,,,230,212,129,156,193,175,79,102,98,102,87,91,0-1,2-2,10-4,10-3
98,California Baptist,Western Athletic,13-5,7-7,,,215,274,254,350,222,121,83,85,76,137,106,96,0-1,2-4,5-3,18-0
101,Hawaii,Big West,14-6,6-5,,,316,357,290,361,226,154,108,103,95,122,108,116,0-0,0-4,8-2,14-2
114,North Dakota State,The Summit League,14-2,10-5,,,350,336,337,299,255,175,129,98,91,133,113,114,0-0,0-1,5-4,19-2
125,Troy,Sun Belt,12-6,9-7,,,268,165,157,48,220,187,86,126,130,134,143,142,1-0,2-1,4-7,13-3
127,Wright State,Horizon League,15-5,9-5,,,307,223,206,61,242,155,144,139,134,140,140,130,0-1,0-2,5-6,16-2
139,Penn,Ivy League,9-5,4-8,,,183,232,124,100,213,127,107,117,118,158,150,147,0-2,1-4,6-3,10-2
145,Idaho,Big Sky,9-9,7-9,,,294,305,316,313,220,173,231,203,198,172,145,136,0-0,0-3,9-8,9-3
155,Kennesaw State,Conference USA,10-10,4-8,,,246,263,178,286,214,168,154,148,159,125,163,145,0-1,0-3,6-5,12-4
172,Tennessee State,Ohio Valley,15-5,10-7,,,322,79,242,83,272,214,150,128,112,206,187,218,0-2,1-0,3-1,16-6
183,Siena,MAAC,13-7,9-7,,,359,338,273,351,288,201,140,159,154,196,192,186,0-1,0-0,2-6,21-4
186,Furman,Southern,10-8,7-5,,,333,289,198,44,249,180,167,158,164,160,191,194,0-1,0-2,5-5,14-4
189,Queens,ASUN,13-5,6-10,,,189,30,265,116,289,130,172,143,137,193,181,198,0-5,0-1,2-3,18-4
196,UMBC,America East,14-2,9-6,,,352,241,356,305,328,178,215,123,99,180,185,185,0-2,0-2,0-1,22-4
198,Long Island,NEC,15-3,10-9,,,317,157,354,308,304,164,205,142,120,218,216,234,0-2,0-2,1-3,23-3
203,Howard,MEAC,11-3,7-6,,,327,191,355,141,313,215,238,187,131,204,207,206,0-2,1-2,2-0,17-6
275,Lehigh,Patriot League,11-7,4-11,,,319,181,277,172,283,210,274,295,243,288,284,283,0-2,0-1,1-5,15-8
300,Prairie View A&M,SWAC,9-9,3-13,,,300,51,349,118,321,221,306,325,256,297,288,281,0-3,0-2,0-1,14-11
